idx,data structure,Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements, Number of Chunks, Operations Completed
1,unrolled_linked_list,0,100,8,10,1,733856971
2,unrolled_linked_list,0,100,8,10,10,710501306
3,unrolled_linked_list,0,100,8,10,100,162214430
4,unrolled_linked_list,0,100,8,10,1000,8297477
5,unrolled_linked_list,0,100,8,1000,1,603869616
6,unrolled_linked_list,0,100,8,1000,10,438876248
7,unrolled_linked_list,0,100,8,1000,100,126583268
8,unrolled_linked_list,0,100,8,1000,1000,4580073
9,unrolled_linked_list,0,100,8,100000,1,600557568
10,unrolled_linked_list,0,100,8,100000,10,485770102
11,unrolled_linked_list,0,100,8,100000,100,147526346
12,unrolled_linked_list,0,100,8,100000,1000,34254323
13,unrolled_linked_list,0,100,8,10000000,1,589385751
14,unrolled_linked_list,0,100,8,10000000,10,469908083
15,unrolled_linked_list,0,100,8,10000000,100,305993918
16,unrolled_linked_list,0,100,512,10,1,462990272
17,unrolled_linked_list,0,100,512,10,10,433533063
18,unrolled_linked_list,0,100,512,10,100,95734542
19,unrolled_linked_list,0,100,512,10,1000,4839187
20,unrolled_linked_list,0,100,512,1000,1,398198470
21,unrolled_linked_list,0,100,512,1000,10,325305810
22,unrolled_linked_list,0,100,512,1000,100,81354301
23,unrolled_linked_list,0,100,512,1000,1000,9482916
24,unrolled_linked_list,0,100,512,100000,1,177098583
25,unrolled_linked_list,0,100,512,100000,10,150929329
26,unrolled_linked_list,0,100,512,100000,100,73830899
27,unrolled_linked_list,0,100,512,10000000,1,136417336
28,unrolled_linked_list,0,100,8192,10,1000,1949353
29,unrolled_linked_list,0,100,8192,1000,1,34380611
30,unrolled_linked_list,0,100,8192,1000,10,11695295
31,unrolled_linked_list,0,100,8192,1000,1000,5039673
32,unrolled_linked_list,0,100,8192,100000,1,11789053
33,unrolled_linked_list,1,99,8,10,1,690448309
34,unrolled_linked_list,1,99,8,10,10,633112510
35,unrolled_linked_list,1,99,8,10,100,152297802
36,unrolled_linked_list,1,99,8,10,1000,9172275
37,unrolled_linked_list,1,99,8,1000,1,615359352
38,unrolled_linked_list,1,99,8,1000,10,447800386
39,unrolled_linked_list,1,99,8,1000,100,128509238
40,unrolled_linked_list,1,99,8,1000,1000,4858836
41,unrolled_linked_list,1,99,8,100000,1,551280464
42,unrolled_linked_list,1,99,8,100000,10,502400850
43,unrolled_linked_list,1,99,8,100000,100,148798124
44,unrolled_linked_list,1,99,8,100000,1000,34336479
45,unrolled_linked_list,1,99,8,10000000,1,615881467
46,unrolled_linked_list,1,99,8,10000000,10,484025104
47,unrolled_linked_list,1,99,8,10000000,100,305680984
48,unrolled_linked_list,1,99,512,10,1,530906574
49,unrolled_linked_list,1,99,512,10,10,392358320
50,unrolled_linked_list,1,99,512,10,100,98002759
51,unrolled_linked_list,1,99,512,10,1000,4794810
52,unrolled_linked_list,1,99,512,1000,1,431484128
53,unrolled_linked_list,1,99,512,1000,10,329566793
54,unrolled_linked_list,1,99,512,1000,100,81799813
55,unrolled_linked_list,1,99,512,1000,1000,7717956
56,unrolled_linked_list,1,99,512,100000,1,169301558
57,unrolled_linked_list,1,99,512,100000,10,142479153
58,unrolled_linked_list,1,99,512,100000,100,69166210
59,unrolled_linked_list,1,99,512,10000000,1,122430857
60,unrolled_linked_list,1,99,8192,10,1,60334653
61,unrolled_linked_list,1,99,8192,10,10,57294997
62,unrolled_linked_list,1,99,8192,10,1000,2088387
63,unrolled_linked_list,1,99,8192,1000,100,11089684
64,unrolled_linked_list,1,99,8192,100000,1,11357859
65,unrolled_linked_list,1,99,8192,100000,10,11046614
66,unrolled_linked_list,10,90,8,10,1,762426984
67,unrolled_linked_list,10,90,8,10,10,706979326
68,unrolled_linked_list,10,90,8,10,100,150250476
69,unrolled_linked_list,10,90,8,10,1000,9807701
70,unrolled_linked_list,10,90,8,1000,1,723721012
71,unrolled_linked_list,10,90,8,1000,10,452736054
72,unrolled_linked_list,10,90,8,1000,100,126079213
73,unrolled_linked_list,10,90,8,1000,1000,4654912
74,unrolled_linked_list,10,90,8,100000,1,727196988
75,unrolled_linked_list,10,90,8,100000,10,563704355
76,unrolled_linked_list,10,90,8,100000,100,147949874
77,unrolled_linked_list,10,90,8,100000,1000,34212369
78,unrolled_linked_list,10,90,8,10000000,1,701443284
79,unrolled_linked_list,10,90,8,10000000,10,569502369
80,unrolled_linked_list,10,90,8,10000000,100,318348371
81,unrolled_linked_list,10,90,512,10,1,473368061
82,unrolled_linked_list,10,90,512,10,10,434750144
83,unrolled_linked_list,10,90,512,10,100,96549843
84,unrolled_linked_list,10,90,512,10,1000,4798590
85,unrolled_linked_list,10,90,512,1000,1,433032491
86,unrolled_linked_list,10,90,512,1000,10,308838887
87,unrolled_linked_list,10,90,512,1000,100,80099708
88,unrolled_linked_list,10,90,512,1000,1000,7918900
89,unrolled_linked_list,10,90,512,100000,1,176559663
90,unrolled_linked_list,10,90,512,100000,10,152061337
91,unrolled_linked_list,10,90,512,100000,100,75124976
92,unrolled_linked_list,10,90,512,10000000,1,143982054
93,unrolled_linked_list,10,90,8192,10,1,67193210
94,unrolled_linked_list,10,90,8192,10,10,56104577
95,unrolled_linked_list,10,90,8192,10,100,22201921
96,unrolled_linked_list,10,90,8192,10,1000,2058329
97,unrolled_linked_list,10,90,8192,1000,1,33531841
98,unrolled_linked_list,10,90,8192,1000,100,11288702
99,unrolled_linked_list,10,90,8192,1000,1000,4390858
100,unrolled_linked_list,10,90,8192,100000,1,10987116
101,unrolled_linked_list,10,90,8192,100000,10,11489461
102,unrolled_linked_list,50,50,8,10,1,806669744
103,unrolled_linked_list,50,50,8,10,10,643915475
104,unrolled_linked_list,50,50,8,10,100,160387875
105,unrolled_linked_list,50,50,8,10,1000,9579306
106,unrolled_linked_list,50,50,8,1000,1,875835153
107,unrolled_linked_list,50,50,8,1000,10,407802271
108,unrolled_linked_list,50,50,8,1000,100,127485939
109,unrolled_linked_list,50,50,8,1000,1000,4842540
110,unrolled_linked_list,50,50,8,100000,1,887935106
111,unrolled_linked_list,50,50,8,100000,10,692260870
112,unrolled_linked_list,50,50,8,100000,100,154276590
113,unrolled_linked_list,50,50,8,100000,1000,34766603
114,unrolled_linked_list,50,50,8,10000000,1,853936342
115,unrolled_linked_list,50,50,8,10000000,10,722752591
116,unrolled_linked_list,50,50,8,10000000,100,358779407
117,unrolled_linked_list,50,50,512,10,1,548517059
118,unrolled_linked_list,50,50,512,10,10,429852577
119,unrolled_linked_list,50,50,512,10,100,89448976
120,unrolled_linked_list,50,50,512,10,1000,4976788
121,unrolled_linked_list,50,50,512,1000,1,439680783
122,unrolled_linked_list,50,50,512,1000,10,303342583
123,unrolled_linked_list,50,50,512,1000,100,72396759
124,unrolled_linked_list,50,50,512,1000,1000,8834783
125,unrolled_linked_list,50,50,512,100000,1,147102924
126,unrolled_linked_list,50,50,512,100000,10,138612898
127,unrolled_linked_list,50,50,512,100000,100,61468892
128,unrolled_linked_list,50,50,512,10000000,1,116366156
129,unrolled_linked_list,50,50,8192,10,10,48246335
130,unrolled_linked_list,50,50,8192,10,100,22174802
131,unrolled_linked_list,50,50,8192,10,1000,2019555
132,unrolled_linked_list,50,50,8192,1000,1,30870204
