# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 31K of event 'L1-dcache-load-misses:u'
# Event count (approx.): 729337502
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    21.90%  npb_bt_a  npb_bt_a       [.] z_solve
    21.86%  npb_bt_a  npb_bt_a       [.] y_solve
    16.54%  npb_bt_a  npb_bt_a       [.] x_solve
    13.70%  npb_bt_a  npb_bt_a       [.] compute_rhs
    12.02%  npb_bt_a  npb_bt_a       [.] binvcrhs
     7.35%  npb_bt_a  npb_bt_a       [.] matvec_sub
     4.86%  npb_bt_a  npb_bt_a       [.] matmul_sub
     0.93%  npb_bt_a  npb_bt_a       [.] add
     0.78%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.05%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.01%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.00%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.00%  npb_bt_a  npb_bt_a       [.] initialize


# Samples: 42K of event 'L1-dcache-loads:u'
# Event count (approx.): 22279931726
#
# Overhead  Command   Shared Object     Symbol                  
# ........  ........  ................  ........................
#
    35.86%  npb_bt_a  npb_bt_a          [.] binvcrhs
    26.02%  npb_bt_a  npb_bt_a          [.] matmul_sub
     8.52%  npb_bt_a  npb_bt_a          [.] x_solve
     8.46%  npb_bt_a  npb_bt_a          [.] z_solve
     8.42%  npb_bt_a  npb_bt_a          [.] y_solve
     6.72%  npb_bt_a  npb_bt_a          [.] compute_rhs
     5.35%  npb_bt_a  npb_bt_a          [.] matvec_sub
     0.23%  npb_bt_a  npb_bt_a          [.] binvrhs
     0.17%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.15%  npb_bt_a  npb_bt_a          [.] add
     0.05%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.02%  npb_bt_a  npb_bt_a          [.] initialize
     0.01%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.00%  npb_bt_a  ld-2.28.so        [.] do_lookup_x
     0.00%  npb_bt_a  ld-2.28.so        [.] __GI___tunables_init
     0.00%  npb_bt_a  ld-2.28.so        [.] _dl_start
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01150
     0.00%  npb_bt_a  ld-2.28.so        [.] _start


# Samples: 39K of event 'L1-dcache-prefetch-misses:u'
# Event count (approx.): 674490455
#
# Overhead  Command   Shared Object  Symbol                 
# ........  ........  .............  .......................
#
    28.24%  npb_bt_a  npb_bt_a       [.] compute_rhs
    16.51%  npb_bt_a  npb_bt_a       [.] binvcrhs
    14.61%  npb_bt_a  npb_bt_a       [.] z_solve
    13.97%  npb_bt_a  npb_bt_a       [.] y_solve
    10.34%  npb_bt_a  npb_bt_a       [.] matvec_sub
    10.07%  npb_bt_a  npb_bt_a       [.] x_solve
     3.66%  npb_bt_a  npb_bt_a       [.] matmul_sub
     2.43%  npb_bt_a  npb_bt_a       [.] add
     0.10%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.05%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.01%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.00%  npb_bt_a  libc-2.28.so   [.] __GI___printf_fp_l
     0.00%  npb_bt_a  libc-2.28.so   [.] __GI___strlen_sse2
     0.00%  npb_bt_a  ld-2.28.so     [.] _dl_lookup_symbol_x
     0.00%  npb_bt_a  ld-2.28.so     [.] do_lookup_x


# Samples: 4  of event 'L1-dcache-prefetches:u'
# Event count (approx.): 21
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    85.71%  npb_bt_a  npb_bt_a       [.] exact_solution
     9.52%  npb_bt_a  npb_bt_a       [.] initialize
     4.76%  npb_bt_a  npb_bt_a       [.] set_constants


# Samples: 39K of event 'L1-dcache-store-misses:u'
# Event count (approx.): 342550527
#
# Overhead  Command   Shared Object     Symbol                  
# ........  ........  ................  ........................
#
    31.72%  npb_bt_a  npb_bt_a          [.] z_solve
    31.68%  npb_bt_a  npb_bt_a          [.] y_solve
    31.26%  npb_bt_a  npb_bt_a          [.] x_solve
     3.11%  npb_bt_a  npb_bt_a          [.] compute_rhs
     1.90%  npb_bt_a  npb_bt_a          [.] lhsinit
     0.23%  npb_bt_a  npb_bt_a          [.] binvcrhs
     0.05%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.03%  npb_bt_a  npb_bt_a          [.] initialize
     0.01%  npb_bt_a  npb_bt_a          [.] exact_solution
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01c80
     0.00%  npb_bt_a  ld-2.28.so        [.] _dl_important_hwcaps
     0.00%  npb_bt_a  ld-2.28.so        [.] _dl_start
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01150


# Samples: 41K of event 'L1-dcache-stores:u'
# Event count (approx.): 10465758282
#
# Overhead  Command   Shared Object  Symbol                        
# ........  ........  .............  ..............................
#
    37.68%  npb_bt_a  npb_bt_a       [.] binvcrhs
    16.84%  npb_bt_a  npb_bt_a       [.] y_solve
    16.75%  npb_bt_a  npb_bt_a       [.] x_solve
    16.26%  npb_bt_a  npb_bt_a       [.] z_solve
     5.24%  npb_bt_a  npb_bt_a       [.] matmul_sub
     3.79%  npb_bt_a  npb_bt_a       [.] compute_rhs
     2.48%  npb_bt_a  npb_bt_a       [.] matvec_sub
     0.45%  npb_bt_a  npb_bt_a       [.] lhsinit
     0.23%  npb_bt_a  npb_bt_a       [.] binvrhs
     0.17%  npb_bt_a  npb_bt_a       [.] add
     0.05%  npb_bt_a  npb_bt_a       [.] exact_rhs
     0.04%  npb_bt_a  npb_bt_a       [.] exact_solution
     0.01%  npb_bt_a  npb_bt_a       [.] initialize
     0.00%  npb_bt_a  ld-2.28.so     [.] _dl_lookup_symbol_x
     0.00%  npb_bt_a  ld-2.28.so     [.] _dl_fixup
     0.00%  npb_bt_a  ld-2.28.so     [.] _dl_runtime_resolve_fxsave
     0.00%  npb_bt_a  npb_bt_a       [.] puts@plt


# Samples: 30K of event 'L1-icache-load-misses:u'
# Event count (approx.): 28305604
#
# Overhead  Command   Shared Object     Symbol                
# ........  ........  ................  ......................
#
    17.72%  npb_bt_a  npb_bt_a          [.] binvrhs
    17.46%  npb_bt_a  npb_bt_a          [.] binvcrhs
    14.47%  npb_bt_a  npb_bt_a          [.] y_solve
    13.44%  npb_bt_a  npb_bt_a          [.] z_solve
    12.88%  npb_bt_a  npb_bt_a          [.] matmul_sub
    11.04%  npb_bt_a  npb_bt_a          [.] x_solve
     9.72%  npb_bt_a  npb_bt_a          [.] lhsinit
     2.88%  npb_bt_a  npb_bt_a          [.] matvec_sub
     0.36%  npb_bt_a  npb_bt_a          [.] compute_rhs
     0.01%  npb_bt_a  npb_bt_a          [.] initialize
     0.01%  npb_bt_a  npb_bt_a          [.] add
     0.00%  npb_bt_a  npb_bt_a          [.] exact_rhs
     0.00%  npb_bt_a  [unknown]         [k] 0xffffffffb8e01150
     0.00%  npb_bt_a  npb_bt_a          [.] set_constants


# Samples: 42K of event 'L1-icache-loads:u'
