# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8  of event 'L1-dcache-load-misses:u'
# Event count (approx.): 177698
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    46.36%  npb_bt_s  npb_bt_s       [.] x_solve
    28.29%  npb_bt_s  npb_bt_s       [.] compute_rhs
    25.36%  npb_bt_s  npb_bt_s       [.] add


# Samples: 63  of event 'L1-dcache-loads:u'
# Event count (approx.): 28650606
#
# Overhead  Command   Shared Object     Symbol                  
# ........  ........  ................  ........................
#
    44.94%  npb_bt_s  npb_bt_s          [.] binvcrhs
    20.08%  npb_bt_s  npb_bt_s          [.] matmul_sub
    10.63%  npb_bt_s  npb_bt_s          [.] x_solve
    10.00%  npb_bt_s  npb_bt_s          [.] z_solve
     9.27%  npb_bt_s  npb_bt_s          [.] compute_rhs
     1.91%  npb_bt_s  npb_bt_s          [.] y_solve
     1.51%  npb_bt_s  npb_bt_s          [.] exact_solution
     1.11%  npb_bt_s  npb_bt_s          [.] matvec_sub
     0.26%  npb_bt_s  ld-2.28.so        [.] _dl_relocate_object
     0.24%  npb_bt_s  npb_bt_s          [.] initialize
     0.05%  npb_bt_s  ld-2.28.so        [.] __GI___tunables_init
     0.00%  npb_bt_s  ld-2.28.so        [.] _dl_start
     0.00%  npb_bt_s  [unknown]         [k] 0xffffffffb8e01150
     0.00%  npb_bt_s  ld-2.28.so        [.] _start


# Samples: 19  of event 'L1-dcache-prefetch-misses:u'
# Event count (approx.): 177439
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    70.34%  npb_bt_s  npb_bt_s       [.] compute_rhs
    22.92%  npb_bt_s  npb_bt_s       [.] x_solve
     6.73%  npb_bt_s  npb_bt_s       [.] exact_rhs
     0.01%  npb_bt_s  npb_bt_s       [.] exact_solution


# Samples: 11  of event 'L1-dcache-prefetches:u'
# Event count (approx.): 288960
#
# Overhead  Command   Shared Object  Symbol        
# ........  ........  .............  ..............
#
    35.23%  npb_bt_s  npb_bt_s       [.] z_solve
    35.01%  npb_bt_s  npb_bt_s       [.] matmul_sub
    20.30%  npb_bt_s  npb_bt_s       [.] binvcrhs
     9.45%  npb_bt_s  npb_bt_s       [.] x_solve


# Samples: 23  of event 'L1-dcache-store-misses:u'
# Event count (approx.): 42102
#
# Overhead  Command   Shared Object     Symbol                              
# ........  ........  ................  ....................................
#
    35.14%  npb_bt_s  npb_bt_s          [.] compute_rhs
    31.11%  npb_bt_s  npb_bt_s          [.] x_solve
    11.66%  npb_bt_s  npb_bt_s          [.] z_solve
     8.45%  npb_bt_s  npb_bt_s          [.] exact_solution
     7.30%  npb_bt_s  npb_bt_s          [.] y_solve
     3.35%  npb_bt_s  npb_bt_s          [.] initialize
     2.85%  npb_bt_s  ld-2.28.so        [.] rtld_lock_default_lock_recursive
     0.13%  npb_bt_s  ld-2.28.so        [.] _dl_start
     0.00%  npb_bt_s  [unknown]         [k] 0xffffffffb8e01150


# Samples: 71  of event 'L1-dcache-stores:u'
# Event count (approx.): 17405260
#
# Overhead  Command   Shared Object  Symbol            
# ........  ........  .............  ..................
#
    40.37%  npb_bt_s  npb_bt_s       [.] binvcrhs
    16.43%  npb_bt_s  npb_bt_s       [.] x_solve
    15.26%  npb_bt_s  npb_bt_s       [.] y_solve
    14.31%  npb_bt_s  npb_bt_s       [.] z_solve
     4.25%  npb_bt_s  npb_bt_s       [.] matmul_sub
     3.30%  npb_bt_s  npb_bt_s       [.] matvec_sub
     2.91%  npb_bt_s  npb_bt_s       [.] lhsinit
     1.63%  npb_bt_s  npb_bt_s       [.] compute_rhs
     1.00%  npb_bt_s  npb_bt_s       [.] exact_rhs
     0.55%  npb_bt_s  npb_bt_s       [.] exact_solution


# Samples: 10  of event 'L1-icache-load-misses:u'
# Event count (approx.): 58132
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    53.09%  npb_bt_s  npb_bt_s       [.] compute_rhs
    19.55%  npb_bt_s  npb_bt_s       [.] x_solve
    14.78%  npb_bt_s  npb_bt_s       [.] binvcrhs
    11.69%  npb_bt_s  npb_bt_s       [.] main
     0.85%  npb_bt_s  npb_bt_s       [.] matmul_sub
     0.04%  npb_bt_s  npb_bt_s       [.] matvec_sub


# Samples: 62  of event 'L1-icache-loads:u'
# Event count (approx.): 33522362
#
# Overhead  Command   Shared Object  Symbol         
# ........  ........  .............  ...............
#
    41.03%  npb_bt_s  npb_bt_s       [.] binvcrhs
    15.01%  npb_bt_s  npb_bt_s       [.] y_solve
    14.39%  npb_bt_s  npb_bt_s       [.] matmul_sub
    12.34%  npb_bt_s  npb_bt_s       [.] compute_rhs
     6.59%  npb_bt_s  npb_bt_s       [.] x_solve
     6.49%  npb_bt_s  npb_bt_s       [.] z_solve
     2.60%  npb_bt_s  npb_bt_s       [.] matvec_sub
