idx, data structure, Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
1,Array,0,100,8,10,342763171,4
2,Array,0,100,8,1000,350437946,4
3,Array,0,100,8,100000,346585470,4
4,Array,0,100,8,10000000,314121158,4
5,Array,0,100,512,10,315932546,4
6,Array,0,100,512,1000,352362731,4
7,Array,0,100,512,100000,339821146,4
8,Array,0,100,512,10000000,253544754,4
9,Array,0,100,8192,10,111799421,4
10,Array,0,100,8192,1000,253737801,4
11,Array,0,100,8192,100000,57204729,4
12,Array,0,100,8192,10000000,
13,Array,0,99,8,10,350446122,4
14,Array,0,99,8,1000,356805849,4
15,Array,0,99,8,100000,357274917,4
16,Array,0,99,8,10000000,313412864,4
17,Array,0,99,512,10,314635889,4
18,Array,0,99,512,1000,348632595,4
19,Array,0,99,512,100000,335097299,4
20,Array,0,99,512,10000000,244278251,4
21,Array,0,99,8192,10,109772318,4
22,Array,0,99,8192,1000,241930793,4
23,Array,0,99,8192,100000,50742022,4
24,Array,0,99,8192,10000000,
25,Array,0,90,8,10,346449064,4
26,Array,0,90,8,1000,355989831,4
27,Array,0,90,8,100000,354138128,4
28,Array,0,90,8,10000000,312848869,4
29,Array,0,90,512,10,301155521,4
30,Array,0,90,512,1000,352659558,4
31,Array,0,90,512,100000,341752050,4
32,Array,0,90,512,10000000,244557892,4
33,Array,0,90,8192,10,110424051,4
34,Array,0,90,8192,1000,244752323,4
35,Array,0,90,8192,100000,48959190,4
36,Array,0,90,8192,10000000,
37,Array,0,50,8,10,348442016,4
38,Array,0,50,8,1000,358494175,4
39,Array,0,50,8,100000,358797151,4
40,Array,0,50,8,10000000,327399332,4
41,Array,0,50,512,10,306124671,4
42,Array,0,50,512,1000,346652131,4
43,Array,0,50,512,100000,329789887,4
44,Array,0,50,512,10000000,217291795,4
45,Array,0,50,8192,10,112648281,4
46,Array,0,50,8192,1000,204499031,4
47,Array,0,50,8192,100000,36325051,4
48,Array,0,50,8192,10000000,
49,Array,1,100,8,10,118868982,4
50,Array,1,100,8,1000,15023337,4
51,Array,1,100,8,100000,22319,4
52,Array,1,100,8,10000000,42,4
53,Array,1,100,512,10,20088583,4
54,Array,1,100,512,1000,88214,4
55,Array,1,100,512,100000,67,4
56,Array,1,100,512,10000000,1,7
57,Array,1,100,8192,10,887196,4
58,Array,1,100,8192,1000,1137,4
59,Array,1,100,8192,100000,4,4
60,Array,1,100,8192,10000000,
61,Array,1,99,8,10,102182601,4
62,Array,1,99,8,1000,14957587,4
63,Array,1,99,8,100000,21100,4
64,Array,1,99,8,10000000,42,4
65,Array,1,99,512,10,20898105,4
66,Array,1,99,512,1000,92486,4
67,Array,1,99,512,100000,67,4
68,Array,1,99,512,10000000,1,9
69,Array,1,99,8192,10,702884,4
70,Array,1,99,8192,1000,622,4
71,Array,1,99,8192,100000,3,4
72,Array,1,99,8192,10000000,
73,Array,1,90,8,10,106932000,4
74,Array,1,90,8,1000,14613635,4
75,Array,1,90,8,100000,15572,4
76,Array,1,90,8,10000000,31,4
77,Array,1,90,512,10,20371604,4
78,Array,1,90,512,1000,77442,4
79,Array,1,90,512,100000,50,4
80,Array,1,90,512,10000000,1,11
81,Array,1,90,8192,10,835117,4
82,Array,1,90,8192,1000,1064,4
83,Array,1,90,8192,100000,4,4
84,Array,1,90,8192,10000000,
85,Array,1,50,8,10,89897032,4
86,Array,1,50,8,1000,14975348,4
87,Array,1,50,8,100000,17979,4
88,Array,1,50,8,10000000,37,4
89,Array,1,50,512,10,20622879,4
90,Array,1,50,512,1000,78058,4
91,Array,1,50,512,100000,43,4
92,Array,1,50,512,10000000,1,11
93,Array,1,50,8192,10,840395,4
94,Array,1,50,8192,1000,403,4
95,Array,1,50,8192,100000,3,4
96,Array,1,50,8192,10000000,
97,Array,10,100,8,10,193178252,4
98,Array,10,100,8,1000,89434031,4
99,Array,10,100,8,100000,327321,4
100,Array,10,100,8,10000000,311,4
101,Array,10,100,512,10,82429429,4
102,Array,10,100,512,1000,854191,4
103,Array,10,100,512,100000,561,4
104,Array,10,100,512,10000000,1,8
105,Array,10,100,8192,10,4224281,4
106,Array,10,100,8192,1000,8241,4
107,Array,10,100,8192,100000,21,4
108,Array,10,100,8192,10000000,
109,Array,10,99,8,10,164191377,4
110,Array,10,99,8,1000,88951671,4
111,Array,10,99,8,100000,327241,4
112,Array,10,99,8,10000000,351,4
113,Array,10,99,512,10,79365891,4
114,Array,10,99,512,1000,709211,4
115,Array,10,99,512,100000,481,4
116,Array,10,99,512,10000000,1,10
117,Array,10,99,8192,10,4475281,4
118,Array,10,99,8192,1000,7731,4
119,Array,10,99,8192,100000,21,4
120,Array,10,99,8192,10000000,
121,Array,10,90,8,10,197679541,4
122,Array,10,90,8,1000,89652798,4
123,Array,10,90,8,100000,339041,4
124,Array,10,90,8,10000000,251,4
125,Array,10,90,512,10,78915621,4
126,Array,10,90,512,1000,749021,4
127,Array,10,90,512,100000,471,4
128,Array,10,90,512,10000000,1,9
129,Array,10,90,8192,10,3677151,4
130,Array,10,90,8192,1000,11511,4
131,Array,10,90,8192,100000,31,4
132,Array,10,90,8192,10000000,
133,Array,10,50,8,10,154209922,4
134,Array,10,50,8,1000,89095670,4
135,Array,10,50,8,100000,327971,4
136,Array,10,50,8,10000000,261,4
137,Array,10,50,512,10,81489627,4
138,Array,10,50,512,1000,932411,4
139,Array,10,50,512,100000,571,4
140,Array,10,50,512,10000000,1,8
141,Array,10,50,8192,10,4379531,4
142,Array,10,50,8192,1000,11291,4
143,Array,10,50,8192,100000,31,4
144,Array,10,50,8192,10000000,
145,Array,50,100,8,10,191285371,4
146,Array,50,100,8,1000,166900155,4
147,Array,50,100,8,100000,2139901,4
148,Array,50,100,8,10000000,1751,4
149,Array,50,100,512,10,81270882,4
150,Array,50,100,512,1000,4338501,4
151,Array,50,100,512,100000,2851,4
152,Array,50,100,512,10000000,1,8
153,Array,50,100,8192,10,4353711,4
154,Array,50,100,8192,1000,52151,4
155,Array,50,100,8192,100000,151,4
156,Array,50,100,8192,10000000,
157,Array,50,99,8,10,193968292,4
158,Array,50,99,8,1000,165826017,4
159,Array,50,99,8,100000,1800801,4
160,Array,50,99,8,10000000,1551,4
161,Array,50,99,512,10,84075771,4
162,Array,50,99,512,1000,3827301,4
163,Array,50,99,512,100000,2451,4
164,Array,50,99,512,10000000,1,10
165,Array,50,99,8192,10,3886341,4
166,Array,50,99,8192,1000,39201,4
167,Array,50,99,8192,100000,101,4
168,Array,50,99,8192,10000000,
169,Array,50,90,8,10,179737750,4
170,Array,50,90,8,1000,164475582,4
171,Array,50,90,8,100000,1803501,4
172,Array,50,90,8,10000000,1501,4
173,Array,50,90,512,10,80708001,4
174,Array,50,90,512,1000,3885001,4
175,Array,50,90,512,100000,2901,4
176,Array,50,90,512,10000000,1,9
177,Array,50,90,8192,10,3491731,4
178,Array,50,90,8192,1000,42101,4
179,Array,50,90,8192,100000,101,4
180,Array,50,90,8192,10000000,
181,Array,50,50,8,10,179819193,4
182,Array,50,50,8,1000,164451481,4
183,Array,50,50,8,100000,1839651,4
184,Array,50,50,8,10000000,1251,4
