idx,data structure,Ins/Del Ratio,Read/Write Ratio,Element Size,Number of Elements,Operations Completed, Time[Seconds]
1,Array,0,100,8,10,1874999210,4
2,Array,0,100,8,1000,1963467451,4
3,Array,0,100,8,100000,1951216655,4
4,Array,0,100,8,10000000,1785057044,4
5,Array,0,100,512,10,2018425049,4
6,Array,0,100,512,1000,1955883172,4
7,Array,0,100,512,100000,1917195122,4
8,Array,0,100,512,10000000,1349684648,4
9,Array,0,100,8192,10,760327411,4
10,Array,0,100,8192,1000,1660077101,4
11,Array,0,100,8192,100000,4
12,Array,0,100,8192,10000000,4
13,Array,0,99,8,10,2023182095,4
14,Array,0,99,8,1000,1937531819,4
15,Array,0,99,8,100000,1954416102,4
16,Array,0,99,8,10000000,1782715649,4
17,Array,0,99,512,10,2013372256,4
18,Array,0,99,512,1000,1952232397,4
19,Array,0,99,512,100000,1916896704,4
20,Array,0,99,512,10000000,1313446059,4
21,Array,0,99,8192,10,759438701,4
22,Array,0,99,8192,1000,1624174719,4
23,Array,0,99,8192,100000,1232431419,4
24,Array,0,99,8192,10000000,4
25,Array,0,90,8,10,2058497239,4
26,Array,0,90,8,1000,1964381237,4
27,Array,0,90,8,100000,1951771482,4
28,Array,0,90,8,10000000,1782218435,4
29,Array,0,90,512,10,2001129310,4
30,Array,0,90,512,1000,1924055337,4
31,Array,0,90,512,100000,1888994068,4
32,Array,0,90,512,10000000,1307584885,4
33,Array,0,90,8192,10,754873247,4
34,Array,0,90,8192,1000,4
35,Array,0,90,8192,100000,1153269193,4
36,Array,0,90,8192,10000000,4
37,Array,0,50,8,10,2040182582,4
38,Array,0,50,8,1000,1867801951,4
39,Array,0,50,8,100000,1869461631,4
40,Array,0,50,8,10000000,1632668334,4
41,Array,0,50,512,10,2008619110,4
42,Array,0,50,512,1000,1858704515,4
43,Array,0,50,512,100000,1823346382,4
44,Array,0,50,512,10000000,1408072292,4
45,Array,0,50,8192,10,759682501,4
46,Array,0,50,8192,1000,1377546178,4
47,Array,0,50,8192,100000,802635001,4
48,Array,0,50,8192,10000000,4
49,Array,1,100,8,10,586412446,4
50,Array,1,100,8,1000,87353114,4
51,Array,1,100,8,100000,424294,4
52,Array,1,100,8,10000000,401,4
53,Array,1,100,512,10,148035681,4
54,Array,1,100,512,1000,736563,4
55,Array,1,100,512,100000,696,4
56,Array,1,100,512,10000000,4,4
57,Array,1,100,8192,10,5781476,4
58,Array,1,100,8192,1000,28254,4
